id,comm_type,raw_content,subject,source_id,ingested_at,processed_at,is_processed
ae76eeed-0a1d-499a-9468-a83860bacf29,meeting,"{""id"": ""814BCF8700744AAFABD21C3B"", ""title"": ""Multi-tiered attitude-oriented neural-net"", ""duration"": 141.23, ""calendar_id"": ""67F4E7983B84476A9D9A8EA8941EDC1C"", ""audio_url"": ""https://lee.com//audio.mp3"", ""video_url"": ""http://www.james.com//video.mp4"", ""transcript_url"": ""http://clark-adams.com//transcript.txt"", ""dateString"": ""2025-08-25 13:30:44"", ""host_email"": ""figueroajohn@doyle.net"", ""organizer_email"": ""fjohnson@hall.com"", ""participants"": [""lrobinson@pacheco-smith.com"", ""joshua35@gmail.com""], ""speakers"": [""wdavis@baker.com""], ""meeting_attendees"": [{""email"": ""lrobinson@pacheco-smith.com""}, {""email"": ""joshua35@gmail.com""}]}",Sharable composite monitoring,814BCF8700744AAFABD21C3B,2025-04-06 01:48:11,2025-03-05 11:01:17,TRUE
924be5c7-9a1d-4c0f-897b-9abc9d61a9ef,email,"{""id"": ""75CA815AEE4143BCAF25DD35"", ""title"": ""Cloned human-resource implementation"", ""duration"": 140.47, ""calendar_id"": ""DF99A391725F454EA282FCF4B92196E7"", ""audio_url"": ""https://valencia.net//audio.mp3"", ""video_url"": ""https://carter.info//video.mp4"", ""transcript_url"": ""http://gill.com//transcript.txt"", ""dateString"": ""2025-09-06 03:26:27"", ""host_email"": ""onelson@hotmail.com"", ""organizer_email"": ""megan03@trujillo.com"", ""participants"": [""robinbradley@edwards.info"", ""donald88@burgess-patterson.org"", ""jeffrey28@yahoo.com""], ""speakers"": [""callahaneric@conner.org""], ""meeting_attendees"": [{""email"": ""robinbradley@edwards.info""}, {""email"": ""donald88@burgess-patterson.org""}, {""email"": ""jeffrey28@yahoo.com""}]}",Profit-focused real-time customer loyalty,75CA815AEE4143BCAF25DD35,2025-03-01 08:33:54,2025-05-26 05:07:46,TRUE
8fe7b155-8aac-43b7-a813-d6acc69a50ea,meeting,"{""id"": ""7BFB762A59674089A2D9D487"", ""title"": ""Centralized impactful superstructure"", ""duration"": 34.47, ""calendar_id"": ""1DFB61F4812E4DBCA5186A518FC16A5E"", ""audio_url"": ""https://www.lee.info//audio.mp3"", ""video_url"": ""http://ramirez.com//video.mp4"", ""transcript_url"": ""https://www.pearson.com//transcript.txt"", ""dateString"": ""2025-02-06 05:16:19"", ""host_email"": ""georgetracy@hickman.com"", ""organizer_email"": ""nataliearroyo@dennis.net"", ""participants"": [""donnaarroyo@baker.biz"", ""jenniferross@santos.com"", ""calebsmith@hall.com"", ""whiteheadmichele@palmer.info"", ""jenniferkhan@kennedy.com""], ""speakers"": [""hopkinsmichael@owens-daniel.com""], ""meeting_attendees"": [{""email"": ""donnaarroyo@baker.biz""}, {""email"": ""jenniferross@santos.com""}, {""email"": ""calebsmith@hall.com""}, {""email"": ""whiteheadmichele@palmer.info""}, {""email"": ""jenniferkhan@kennedy.com""}]}",Versatile disintermediate concept,7BFB762A59674089A2D9D487,2025-06-07 20:03:12,2025-07-08 14:30:12,TRUE
8a6d97c0-2925-4314-9f2f-4aee7e71a580,meeting,"{""id"": ""F46243983B87433BABE96151"", ""title"": ""Persevering regional open system"", ""duration"": 120.3, ""calendar_id"": ""23AB4C72C0AF40CDB68293F35D7253FB"", ""audio_url"": ""http://www.lewis.com//audio.mp3"", ""video_url"": ""http://moore-bass.com//video.mp4"", ""transcript_url"": ""http://garcia.com//transcript.txt"", ""dateString"": ""2025-08-03 20:25:05"", ""host_email"": ""michellebarrera@gmail.com"", ""organizer_email"": ""gallowayjoseph@yahoo.com"", ""participants"": [""uhorton@hotmail.com"", ""jamesrobinson@gmail.com"", ""brian97@calhoun.net""], ""speakers"": [""caseyjones@powell.com"", ""barnesbrandy@stewart.com"", ""randy47@hickman-walls.com""], ""meeting_attendees"": [{""email"": ""uhorton@hotmail.com""}, {""email"": ""jamesrobinson@gmail.com""}, {""email"": ""brian97@calhoun.net""}]}",Distributed encompassing forecast,F46243983B87433BABE96151,2025-08-23 21:25:21,2025-03-23 19:12:38,TRUE
a16d7eca-8316-44cf-80d7-48dcc4df5d5c,chat,"{""id"": ""6709DA4EF5F34AA093A6E9EF"", ""title"": ""Enhanced incremental algorithm"", ""duration"": 97.38, ""calendar_id"": ""FFCD2BD827E44A17AA6B83520E6BEA20"", ""audio_url"": ""http://pham-shields.com//audio.mp3"", ""video_url"": ""https://www.rodriguez.com//video.mp4"", ""transcript_url"": ""http://torres-pope.com//transcript.txt"", ""dateString"": ""2025-03-28 13:47:53"", ""host_email"": ""gracefarrell@hotmail.com"", ""organizer_email"": ""rebecca01@hotmail.com"", ""participants"": [""bradley52@hotmail.com"", ""joycearnold@yahoo.com"", ""jonesnicole@gardner.org"", ""tanderson@nolan-flynn.com"", ""evelynestrada@yahoo.com""], ""speakers"": [""sarayoung@gmail.com""], ""meeting_attendees"": [{""email"": ""bradley52@hotmail.com""}, {""email"": ""joycearnold@yahoo.com""}, {""email"": ""jonesnicole@gardner.org""}, {""email"": ""tanderson@nolan-flynn.com""}, {""email"": ""evelynestrada@yahoo.com""}]}",Assimilated stable core,6709DA4EF5F34AA093A6E9EF,2025-06-04 17:58:19,2025-05-08 11:37:23,TRUE
3c10841d-7d22-4661-b770-aae3ad707085,chat,"{""id"": ""54866F1FFFC94475ADDB2C33"", ""title"": ""Programmable national software"", ""duration"": 134.72, ""calendar_id"": ""DD37982133644C8EA1A0D5B3C12A5755"", ""audio_url"": ""http://jones-beck.com//audio.mp3"", ""video_url"": ""https://www.mccullough.com//video.mp4"", ""transcript_url"": ""https://martinez.com//transcript.txt"", ""dateString"": ""2025-08-28 01:00:53"", ""host_email"": ""rasmussenjoshua@hotmail.com"", ""organizer_email"": ""sheila14@gmail.com"", ""participants"": [""rodriguezryan@hotmail.com"", ""gobrien@gmail.com""], ""speakers"": [""jonathanfletcher@gmail.com""], ""meeting_attendees"": [{""email"": ""rodriguezryan@hotmail.com""}, {""email"": ""gobrien@gmail.com""}]}",Re-contextualized exuding initiative,54866F1FFFC94475ADDB2C33,2025-08-01 19:08:41,2025-01-01 03:47:01,TRUE
4427561d-a13f-497e-be60-365c73b67313,chat,"{""id"": ""0827A56E5784456080C85D7E"", ""title"": ""Vision-oriented interactive definition"", ""duration"": 62.3, ""calendar_id"": ""6504B79AB8084F59909DEF9E28FDA533"", ""audio_url"": ""http://grant.info//audio.mp3"", ""video_url"": ""http://schmidt.info//video.mp4"", ""transcript_url"": ""https://manning.info//transcript.txt"", ""dateString"": ""2025-04-11 15:50:25"", ""host_email"": ""jason99@hotmail.com"", ""organizer_email"": ""rramos@gmail.com"", ""participants"": [""donnacampbell@hotmail.com"", ""cardenaskaren@hotmail.com"", ""lindsayhernandez@gmail.com"", ""xcarr@gibson.org""], ""speakers"": [""psnyder@douglas.com""], ""meeting_attendees"": [{""email"": ""donnacampbell@hotmail.com""}, {""email"": ""cardenaskaren@hotmail.com""}, {""email"": ""lindsayhernandez@gmail.com""}, {""email"": ""xcarr@gibson.org""}]}",Versatile dynamic productivity,0827A56E5784456080C85D7E,2025-04-18 16:43:44,2025-07-22 10:51:59,TRUE
8bd9d1db-b3e8-4679-a217-0828c0cae698,chat,"{""id"": ""2CEF1083B9D24FD6A3C04A08"", ""title"": ""Operative national synergy"", ""duration"": 86.99, ""calendar_id"": ""63FBE78163054E62893AEE2B966449B3"", ""audio_url"": ""http://nelson.com//audio.mp3"", ""video_url"": ""https://shelton.info//video.mp4"", ""transcript_url"": ""http://www.vargas-alvarado.com//transcript.txt"", ""dateString"": ""2025-09-07 14:51:39"", ""host_email"": ""joshuajones@yahoo.com"", ""organizer_email"": ""matthew81@hernandez.com"", ""participants"": [""perrymark@perry-clark.biz"", ""gateskathy@yahoo.com""], ""speakers"": [""benderkenneth@yahoo.com""], ""meeting_attendees"": [{""email"": ""perrymark@perry-clark.biz""}, {""email"": ""gateskathy@yahoo.com""}]}",Optimized client-driven Local Area Network,2CEF1083B9D24FD6A3C04A08,2025-03-12 13:50:14,2025-01-20 12:41:12,TRUE
6f71898b-8f89-45b0-ac1c-4ccee457c973,email,"{""id"": ""A2603DF9A8564367A057473A"", ""title"": ""Stand-alone global access"", ""duration"": 69.68, ""calendar_id"": ""2C459C1688954110852308ACA0EF0A0E"", ""audio_url"": ""https://hamilton.info//audio.mp3"", ""video_url"": ""http://gross.com//video.mp4"", ""transcript_url"": ""https://petersen-vargas.com//transcript.txt"", ""dateString"": ""2025-04-06 08:10:50"", ""host_email"": ""dmurphy@yahoo.com"", ""organizer_email"": ""aramirez@yahoo.com"", ""participants"": [""ismith@cooke.com"", ""websterstefanie@combs.com"", ""thomaswilson@marshall.com"", ""stricklandfrank@rodriguez-johnson.com""], ""speakers"": [""mdavid@gmail.com"", ""terrykevin@burke.com"", ""estanley@hotmail.com""], ""meeting_attendees"": [{""email"": ""ismith@cooke.com""}, {""email"": ""websterstefanie@combs.com""}, {""email"": ""thomaswilson@marshall.com""}, {""email"": ""stricklandfrank@rodriguez-johnson.com""}]}",Cross-group even-keeled knowledge user,A2603DF9A8564367A057473A,2025-04-05 16:58:19,2025-06-30 11:23:48,TRUE
fca7df4f-6312-4092-b5d7-7ce55bcb1c0b,call,"{""id"": ""F2843A4AAA8A47B8B2AC9F7C"", ""title"": ""Function-based mission-critical budgetary management"", ""duration"": 48.72, ""calendar_id"": ""3F753CAEDA4043B99454412CDCD4BA45"", ""audio_url"": ""http://jones-soto.com//audio.mp3"", ""video_url"": ""http://www.avery.net//video.mp4"", ""transcript_url"": ""https://www.james.org//transcript.txt"", ""dateString"": ""2025-06-16 12:59:01"", ""host_email"": ""anthony52@yahoo.com"", ""organizer_email"": ""lauren54@haynes.com"", ""participants"": [""jenniferfreeman@vaughn.info"", ""davisjeffrey@hotmail.com"", ""elizabeth57@schmidt.com"", ""qnelson@gmail.com"", ""leslienewton@lopez.org""], ""speakers"": [""wallkenneth@yahoo.com"", ""alexis82@williams-brown.com"", ""agarcia@mitchell.com""], ""meeting_attendees"": [{""email"": ""jenniferfreeman@vaughn.info""}, {""email"": ""davisjeffrey@hotmail.com""}, {""email"": ""elizabeth57@schmidt.com""}, {""email"": ""qnelson@gmail.com""}, {""email"": ""leslienewton@lopez.org""}]}",Integrated non-volatile process improvement,F2843A4AAA8A47B8B2AC9F7C,2025-01-24 09:23:13,2025-08-25 18:10:18,TRUE
